City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
78,Saskylakh,RU,71.9167,114.0833,11.39,95,100,9.13,overcast clouds
79,Bredasdorp,ZA,-34.5322,20.0403,52.92,82,98,4.61,overcast clouds
80,Lavrentiya,RU,65.5833,-171.0,10.0,81,6,6.89,clear sky
81,Tambopata,PE,-12.7333,-69.1833,68.2,82,100,2.04,overcast clouds
82,Aquiraz,BR,-3.9014,-38.3911,81.18,79,24,8.75,few clouds
83,Shenjiamen,CN,29.9576,122.298,47.7,66,12,33.44,few clouds
84,Kapaa,US,22.0752,-159.319,84.18,71,40,4.0,scattered clouds
85,Bacalar,MX,18.6667,-88.3833,71.19,82,52,4.12,broken clouds
86,Richards Bay,ZA,-28.783,32.0377,70.39,95,100,3.56,overcast clouds
87,Belmonte,BR,-15.8631,-38.8828,77.5,88,99,3.33,overcast clouds
88,Lompoc,US,34.6391,-120.4579,65.12,67,20,18.01,few clouds
89,Ancud,CL,-41.8697,-73.8203,54.43,96,95,2.8,overcast clouds
90,Gummidipundi,IN,13.4,80.15,79.99,79,100,12.46,moderate rain
91,Vanimo,PG,-2.6741,141.3028,86.72,65,55,9.19,broken clouds
92,Longyearbyen,SJ,78.2186,15.6401,12.04,79,75,6.91,broken clouds
93,Rawah,IQ,34.4816,41.9093,62.29,28,0,7.14,clear sky
94,Port Alfred,ZA,-33.5906,26.891,64.38,86,100,8.61,light rain
95,Turukhansk,RU,65.8167,87.9833,32.63,98,100,18.14,snow
96,Nikolskoye,RU,59.7035,30.7861,37.87,98,100,8.79,moderate rain
97,Gizo,SB,-8.103,156.8419,84.58,69,80,5.99,light rain
98,Ambon,ID,-3.6954,128.1814,87.94,74,40,6.91,scattered clouds
99,Buckeye,US,33.3703,-112.5838,80.22,26,100,0.0,overcast clouds
100,Lodwar,KE,3.1191,35.5973,84.27,45,94,12.57,overcast clouds
101,Avarua,CK,-21.2078,-159.775,77.05,57,23,14.97,few clouds
102,Laguna,US,38.421,-121.4238,56.34,59,1,3.44,clear sky
103,Mayo,US,38.8876,-76.5119,51.17,74,1,1.01,clear sky
104,Oktyabrskiy,RU,54.4815,53.471,31.98,93,45,5.68,scattered clouds
105,Visnes,NO,59.3556,5.2242,46.58,100,100,10.36,drizzle
106,Qasigiannguit,GL,68.8193,-51.1922,12.45,74,10,6.87,clear sky
107,Maturin,VE,9.75,-63.1767,72.88,97,52,4.07,broken clouds
108,Ilulissat,GL,69.2167,-51.1,12.22,48,10,16.11,clear sky
109,Awjilah,LY,29.1081,21.2869,66.02,53,0,5.7,clear sky
110,Berlevag,NO,70.8578,29.0864,29.97,67,100,9.17,overcast clouds
111,Kavieng,PG,-2.5744,150.7967,84.79,70,9,16.8,light rain
