City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
291,Sinnamary,GF,79.34,overcast clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
299,Camocim,BR,77.79,light rain,-2.9022,-40.8411,Ilha Praia Hotel
300,Mambago,PH,85.23,scattered clouds,7.1056,125.6944,Paradise Island Park and Beach Resort
303,Itarema,BR,79.11,broken clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
314,Puebloviejo,CO,82.6,scattered clouds,10.9938,-74.2844,The Journey Hostel
316,Tres Picos,MX,75.04,overcast clouds,15.8667,-93.5333,Tres picos Chiapas
317,Colon,PA,80.37,overcast clouds,9.3592,-79.9014,Sand Diamond Hotel
319,Iquitos,PE,75.24,broken clouds,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
320,Grand-Lahou,CI,77.81,scattered clouds,5.1367,-5.0242,Hotel Beatitude de Grand Lahou
330,Dingle,PH,85.37,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
331,San Miguel,SV,83.86,few clouds,13.4833,-88.1833,Hotel Tropico Inn San Miguel
332,Dicabisagan,PH,82.71,broken clouds,17.0818,122.4157,Nancy Montanes Bernardo
341,Trat,TH,84.25,broken clouds,12.5,102.5,สวนหนิง-อัศ
343,Bosaso,SO,75.36,few clouds,11.2842,49.1816,Red Sea Hotel
344,Kirakira,SB,86.41,clear sky,-10.4544,161.9205,SanBiz Lodge
346,Mana,GF,78.87,overcast clouds,5.6592,-53.7767,LE SAMANA
347,Banda Aceh,ID,81.77,broken clouds,5.5577,95.3222,Sulthan Hotel International
356,Ewa Beach,US,84.15,few clouds,21.3156,-158.0072,Uncle Junior Robert
359,Baculin,PH,86.25,clear sky,7.4525,126.5842,Baculin Cove Beach Resort
362,Road Town,VG,79.0,few clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
365,Shakawe,BW,78.3,overcast clouds,-18.3667,21.85,Ditlhapi Guest House
374,Pemangkat,ID,83.23,scattered clouds,1.1667,108.9667,Ramah Kost KITA
379,Koutiala,ML,83.41,broken clouds,12.3917,-5.4642,Hotel La Chaumiere
382,Ulladulla,AU,78.76,broken clouds,-35.35,150.4667,Sandpiper Motel
384,Kampot,KH,77.05,few clouds,10.6167,104.1833,Two Moons Hotel
389,Kibala,TD,76.39,scattered clouds,9.1104,18.3463,hotel safari
392,Ugoofaaru,MV,80.65,light rain,5.6667,73.0,Ungoofaaru Inn
393,Sola,VU,81.55,scattered clouds,-13.8833,167.55,Leumerus Bungalows
